state,AJ,E,ED,FP,H,HAC,HEC,HR,NJ,O,PA,PB,PC,PM,PR,UNK,VR,Total
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
AR,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,0,0,0,0,0,0,0,0,7,2,0,0,1,0,3,0,0,13
CO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,6
GA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
HI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
MS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJ,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
NM,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3
NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY,0,0,0,0,0,0,0,0,4,1,0,2,0,0,4,0,0,11
OH,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,4
OK,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
OR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PA,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,7
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3
SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
TX,0,0,0,0,0,0,0,0,4,2,0,1,0,0,4,0,0,11
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
WI,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
